num	url	http_code	encoding	mots
1	https://fr.wikipedia.org/wiki/Robot	200	13913	UTF-8
2	https://fr.wikipedia.org/wiki/Robot_de_cuisine	200	4117	UTF-8
3	https://fr.wikipedia.org/wiki/Robot_d%27indexation	200	264	utf-8
4	https://fr.wikipedia.org/wiki/Bot_informatique	429	264	utf-8
5	https://fr.wikipedia.org/wiki/Atlas_(robot)	429	264	utf-8
6	https://roboty.magistry.fr	200	166	N/A
7	https://fr.wikipedia.org/wiki/Robot_(Léonard_de_Vinci)	429	264	utf-8
8	https://fr.wiktionary.org/wiki/robot	429	264	UTF-8
9	https://fr.wikipedia.org/wiki/Protocole_d%27exclusion_des_robots	429	264	utf-8
10	https://fr.wikipedia.org/wiki/Robotique	429	264	utf-8
